filename,churn,bug_fixes,lines_added,lines_deleted
django/db/backends/base/schema.py,18,17,154,69
django/db/backends/oracle/schema.py,6,6,10,6
django/contrib/admin/widgets.py,10,9,46,17
django/core/handlers/asgi.py,10,8,106,122
django/db/models/base.py,44,32,480,369
django/utils/log.py,4,4,61,22
django/db/backends/oracle/base.py,10,6,89,27
django/db/backends/oracle/features.py,19,14,65,25
django/db/backends/oracle/operations.py,14,9,61,82
django/db/backends/sqlite3/schema.py,8,7,34,22
django/db/models/__init__.py,7,5,23,4
django/db/models/sql/compiler.py,32,22,423,268
django/db/models/sql/query.py,38,33,291,151
django/db/models/query_utils.py,9,6,116,36
django/template/defaultfilters.py,4,4,24,6
django/contrib/postgres/aggregates/mixins.py,6,3,67,84
django/db/models/aggregates.py,13,11,271,65
django/core/management/commands/squashmigrations.py,3,2,5,19
django/contrib/gis/db/models/aggregates.py,2,2,5,9
django/db/backends/sqlite3/features.py,16,13,55,40
django/forms/boundfield.py,6,4,34,21
django/db/migrations/autodetector.py,12,7,214,32
django/db/backends/mysql/features.py,12,11,46,129
django/contrib/contenttypes/prefetch.py,1,1,1,1
django/db/models/options.py,7,5,52,17
django/conf/locale/__init__.py,4,2,12,5
django/contrib/postgres/forms/hstore.py,1,1,1,1
django/contrib/auth/management/commands/changepassword.py,1,1,2,1
django/contrib/auth/management/commands/createsuperuser.py,1,1,2,1
django/contrib/contenttypes/management/commands/remove_stale_contenttypes.py,2,2,5,10
django/core/management/commands/check.py,1,1,2,0
django/core/management/commands/createcachetable.py,1,1,1,0
django/core/management/commands/dbshell.py,2,2,2,1
django/core/management/commands/dumpdata.py,2,2,4,2
django/core/management/commands/flush.py,3,2,6,7
django/core/management/commands/inspectdb.py,7,6,41,34
django/core/management/commands/loaddata.py,1,1,1,0
django/core/management/commands/migrate.py,5,5,16,16
django/core/management/commands/showmigrations.py,1,1,1,0
django/core/management/commands/sqlflush.py,1,1,1,0
django/core/management/commands/sqlmigrate.py,3,3,6,6
django/core/management/commands/sqlsequencereset.py,1,1,1,0
django/contrib/auth/management/__init__.py,7,5,234,118
django/contrib/postgres/constraints.py,10,8,44,37
django/contrib/postgres/indexes.py,3,3,4,9
django/db/models/constraints.py,18,12,138,139
django/db/models/expressions.py,35,27,354,155
django/forms/formsets.py,4,4,13,8
docs/_ext/github_links.py,3,3,154,5
docs/conf.py,13,8,68,43
django/db/models/fields/files.py,7,6,46,19
django/utils/version.py,4,2,3,3
django/contrib/auth/hashers.py,10,6,50,33
django/core/files/storage/filesystem.py,8,5,66,49
django/contrib/contenttypes/fields.py,12,7,113,69
django/db/models/fields/mixins.py,3,1,29,23
django/db/models/fields/related.py,16,12,255,86
django/db/models/fields/related_descriptors.py,21,12,312,222
django/db/models/fields/reverse_related.py,4,1,6,15
django/core/validators.py,5,5,86,56
django/contrib/admin/helpers.py,5,4,22,9
django/contrib/admin/options.py,20,15,198,165
django/contrib/admin/sites.py,7,7,31,22
django/contrib/auth/apps.py,4,4,16,11
django/contrib/auth/checks.py,5,4,58,17
django/contrib/auth/decorators.py,5,4,23,11
django/contrib/auth/middleware.py,9,6,191,53
django/contrib/auth/views.py,5,4,42,42
django/__init__.py,3,0,3,3
django/utils/deprecation.py,9,4,205,25
django/core/management/base.py,7,5,28,10
django/contrib/gis/db/backends/postgis/operations.py,9,7,27,18
django/db/backends/postgresql/features.py,15,10,44,25
django/contrib/humanize/templatetags/humanize.py,7,6,60,39
django/db/backends/ddl_references.py,1,1,15,0
django/contrib/admin/templatetags/admin_urls.py,1,1,5,5
django/contrib/auth/mixins.py,2,2,5,4
django/contrib/staticfiles/handlers.py,1,1,2,2
django/forms/fields.py,9,8,51,65
django/http/response.py,8,6,39,11
django/middleware/common.py,2,1,5,3
django/middleware/csrf.py,6,4,18,17
django/utils/http.py,9,8,90,67
django/contrib/auth/forms.py,10,7,119,80
django/template/context.py,4,3,18,9
django/forms/models.py,10,7,72,34
django/db/migrations/operations/models.py,8,5,156,112
django/contrib/syndication/views.py,2,2,2,1
django/utils/feedgenerator.py,4,3,92,15
django/core/mail/message.py,11,10,271,124
django/contrib/gis/db/backends/mysql/schema.py,5,2,74,55
django/db/__init__.py,1,1,1,0
django/contrib/contenttypes/models.py,2,2,5,10
django/contrib/admin/checks.py,8,7,52,27
django/contrib/staticfiles/finders.py,4,1,90,101
django/contrib/staticfiles/management/commands/findstatic.py,1,1,1,1
django/db/models/query.py,53,35,561,269
django/middleware/cache.py,3,2,16,6
django/contrib/auth/admin.py,5,2,10,12
django/utils/html.py,21,20,183,103
django/core/files/storage/base.py,4,4,21,6
django/core/files/utils.py,2,1,4,5
django/utils/translation/trans_real.py,5,5,34,17
django/db/migrations/state.py,9,8,55,23
django/template/defaulttags.py,12,9,221,76
django/db/transaction.py,2,2,9,9
django/core/files/temp.py,1,1,1,1
django/template/utils.py,1,0,5,6
django/contrib/gis/db/backends/oracle/schema.py,3,1,62,25
django/db/backends/postgresql/schema.py,6,6,59,48
django/forms/widgets.py,7,7,75,6
django/db/models/fields/related_lookups.py,8,4,45,92
django/db/models/fields/tuple_lookups.py,22,13,589,168
django/views/debug.py,8,8,45,24
django/core/mail/__init__.py,6,4,162,37
django/db/models/fields/__init__.py,20,15,273,199
scripts/manage_translations.py,5,2,308,124
django/contrib/staticfiles/storage.py,7,7,80,25
django/contrib/admin/actions.py,2,2,3,2
django/core/management/commands/runserver.py,5,4,23,11
django/core/files/storage/memory.py,1,1,7,4
django/utils/safestring.py,1,1,10,4
django/db/backends/base/base.py,5,3,11,14
django/forms/renderers.py,3,1,4,37
django/db/backends/base/operations.py,15,7,125,43
django/db/backends/postgresql/base.py,6,3,49,44
django/core/management/commands/compilemessages.py,3,1,8,9
django/core/management/commands/makemessages.py,6,3,29,35
django/utils/decorators.py,3,2,8,5
django/http/request.py,7,6,175,54
django/db/backends/oracle/oracledb_any.py,1,1,1,2
django/contrib/contenttypes/forms.py,1,0,1,1
django/contrib/gis/db/backends/postgis/schema.py,4,2,70,26
django/contrib/admin/views/main.py,6,5,12,85
django/db/models/lookups.py,12,6,105,79
django/db/models/functions/text.py,2,2,3,2
django/db/backends/sqlite3/base.py,3,2,16,11
django/db/backends/sqlite3/introspection.py,6,4,32,16
django/template/base.py,14,14,126,43
django/core/serializers/json.py,2,2,21,14
django/core/serializers/jsonl.py,1,1,22,11
django/core/serializers/python.py,6,6,110,69
django/core/serializers/pyyaml.py,3,3,30,24
django/utils/choices.py,1,1,3,2
django/conf/global_settings.py,11,7,40,27
django/contrib/gis/gdal/libgdal.py,7,6,10,8
django/db/models/functions/comparison.py,6,4,37,91
django/urls/base.py,2,2,28,7
django/contrib/auth/__init__.py,10,7,197,88
django/contrib/auth/backends.py,3,2,114,5
django/contrib/auth/base_user.py,2,1,5,5
django/contrib/auth/models.py,5,3,143,9
django/contrib/postgres/forms/array.py,2,1,2,3
django/core/exceptions.py,4,3,12,2
django/contrib/postgres/operations.py,3,3,28,20
django/views/generic/dates.py,2,2,38,10
django/views/generic/detail.py,4,4,18,7
django/views/generic/edit.py,2,1,4,4
django/views/generic/list.py,1,1,5,1
django/core/checks/__init__.py,2,1,1,1
django/core/checks/commands.py,1,1,28,0
django/core/checks/registry.py,2,2,10,0
django/core/management/commands/makemigrations.py,3,3,12,9
django/contrib/auth/password_validation.py,5,4,38,24
django/contrib/gis/geoip2.py,5,1,30,31
django/contrib/gis/gdal/geometries.py,6,2,116,61
django/contrib/gis/gdal/prototypes/geom.py,2,1,14,17
django/contrib/gis/db/backends/mysql/operations.py,9,6,25,16
django/core/cache/backends/filebased.py,3,1,6,7
django/contrib/staticfiles/management/commands/collectstatic.py,4,4,32,8
django/db/backends/postgresql/operations.py,7,5,20,28
django/contrib/admindocs/utils.py,7,6,33,9
django/contrib/admindocs/views.py,2,2,25,5
django/shortcuts.py,2,2,20,8
django/db/backends/mysql/base.py,7,4,22,30
django/db/migrations/questioner.py,2,2,11,5
django/template/library.py,6,4,176,59
django/db/migrations/operations/__init__.py,1,1,2,0
django/db/models/fields/composite.py,3,3,177,0
django/core/management/commands/optimizemigration.py,1,1,1,1
django/core/management/templates.py,2,2,8,6
django/core/management/utils.py,1,1,11,5
django/db/models/fields/json.py,15,7,276,157
django/forms/forms.py,6,5,26,13
django/forms/utils.py,2,2,3,1
django/contrib/postgres/fields/array.py,8,4,24,14
django/contrib/postgres/fields/hstore.py,4,2,6,5
django/template/loader_tags.py,3,3,20,4
django/db/backends/mysql/operations.py,5,3,13,38
django/contrib/gis/serializers/geojson.py,1,1,1,5
django/db/backends/postgresql/compiler.py,10,9,86,25
django/db/models/functions/__init__.py,3,2,10,3
django/db/models/functions/json.py,3,2,126,2
django/db/backends/oracle/creation.py,3,2,15,8
django/core/serializers/xml_serializer.py,10,9,134,74
django/db/backends/base/features.py,21,11,68,19
django/db/models/sql/constants.py,1,1,3,1
django/db/models/sql/subqueries.py,5,5,18,15
django/contrib/postgres/aggregates/general.py,5,2,47,30
django/contrib/admin/templatetags/admin_list.py,9,9,36,17
django/contrib/admin/utils.py,8,8,43,30
django/core/management/commands/shell.py,9,7,215,71
django/db/backends/mysql/schema.py,5,4,8,40
django/utils/ipv6.py,2,2,22,7
django/urls/converters.py,1,0,1,11
django/conf/__init__.py,2,1,4,19
django/db/models/sql/datastructures.py,4,3,28,44
django/contrib/gis/db/backends/oracle/adapter.py,1,0,2,1
django/contrib/gis/db/backends/oracle/introspection.py,2,1,6,4
django/db/backends/oracle/introspection.py,6,3,30,15
django/db/models/enums.py,2,1,3,47
django/contrib/admin/models.py,3,2,8,55
django/db/backends/utils.py,2,2,2,2
django/db/migrations/serializer.py,9,6,56,34
django/db/migrations/loader.py,5,4,86,38
django/db/backends/sqlite3/operations.py,11,7,47,69
django/db/models/deletion.py,5,4,48,14
django/contrib/gis/geos/geometry.py,6,3,39,20
django/contrib/gis/geos/prototypes/__init__.py,3,0,7,3
django/contrib/gis/geos/prototypes/predicates.py,2,0,5,2
django/contrib/gis/db/backends/base/models.py,1,1,17,25
django/db/backends/mysql/compiler.py,2,1,14,29
django/db/models/sql/where.py,1,0,0,20
django/db/migrations/executor.py,4,4,25,25
django/conf/locale/ko/formats.py,1,0,1,1
django/db/backends/dummy/base.py,2,2,3,1
django/db/backends/base/creation.py,5,3,66,28
django/db/migrations/operations/base.py,1,0,11,0
django/db/migrations/operations/fields.py,2,0,20,28
django/utils/copy.py,1,0,17,0
django/contrib/sessions/backends/file.py,2,0,4,4
django/contrib/sitemaps/views.py,1,0,1,1
django/core/cache/backends/db.py,3,1,8,6
django/templatetags/tz.py,3,1,5,7
django/utils/dateparse.py,2,1,4,3
django/utils/timezone.py,1,0,2,2
django/views/decorators/http.py,3,0,3,4
django/contrib/gis/db/backends/base/operations.py,8,5,33,28
