filename,churn,bug_fixes,lines_added,lines_deleted
src/transformers/models/deprecated/_archive_maps.py,2,2,15,0
src/transformers/models/musicgen/configuration_musicgen.py,17,12,160,245
src/transformers/models/musicgen/modeling_musicgen.py,92,70,1485,1832
src/transformers/models/musicgen_melody/configuration_musicgen_melody.py,15,11,164,257
src/transformers/models/musicgen_melody/modeling_musicgen_melody.py,92,73,1346,1650
src/transformers/models/wav2vec2/tokenization_wav2vec2.py,18,13,178,437
src/transformers/modeling_utils.py,492,364,10155,9999
src/transformers/models/bert/modeling_bert.py,62,43,1222,1695
src/transformers/models/encoder_decoder/modeling_encoder_decoder.py,33,26,139,354
src/transformers/models/marian/modeling_marian.py,63,46,931,1530
src/transformers/generation/logits_process.py,50,37,1616,640
src/transformers/models/whisper/generation_whisper.py,60,48,1071,664
examples/pytorch/text-classification/run_classification.py,34,7,85,104
src/transformers/models/encodec/modeling_encodec.py,26,20,243,223
src/transformers/models/swin2sr/modeling_swin2sr.py,34,27,181,292
src/transformers/models/swinv2/modeling_swinv2.py,42,34,417,527
src/transformers/models/qwen2/tokenization_qwen2.py,8,8,80,318
src/transformers/models/llava_next/modeling_llava_next.py,93,79,1436,1444
src/transformers/models/vipllava/modeling_vipllava.py,80,70,826,961
src/transformers/models/superpoint/image_processing_superpoint.py,19,15,211,319
src/transformers/training_args.py,165,112,2306,2297
src/transformers/models/efficientnet/modeling_efficientnet.py,23,16,56,137
src/transformers/models/mamba/convert_mamba_ssm_checkpoint_to_pytorch.py,4,3,155,4
src/transformers/models/idefics/processing_idefics.py,25,22,301,299
src/transformers/models/cohere/configuration_cohere.py,24,18,177,238
src/transformers/models/cohere/modeling_cohere.py,117,89,997,1691
src/transformers/models/seamless_m4t/modeling_seamless_m4t.py,64,46,923,1272
src/transformers/pipelines/pt_utils.py,4,4,11,6
src/transformers/pipelines/text_to_audio.py,17,12,186,78
src/transformers/models/mixtral/modeling_mixtral.py,137,105,1598,2513
src/transformers/models/qwen2_moe/modeling_qwen2_moe.py,141,105,1648,2513
examples/pytorch/image-classification/run_image_classification.py,31,4,80,101
examples/pytorch/image-pretraining/run_mae.py,31,3,56,76
examples/pytorch/image-pretraining/run_mim.py,31,4,53,83
examples/pytorch/semantic-segmentation/run_semantic_segmentation.py,33,6,120,250
examples/tensorflow/image-classification/run_image_classification.py,25,2,25,46
src/transformers/trainer.py,309,204,6634,6664
src/transformers/trainer_callback.py,34,17,278,95
src/transformers/quantizers/quantizer_bnb_4bit.py,37,32,268,398
src/transformers/quantizers/quantizer_bnb_8bit.py,33,30,198,297
src/transformers/models/gemma/modeling_gemma.py,137,103,1335,2149
src/transformers/models/llama/modeling_llama.py,133,98,1219,2247
src/transformers/utils/fx.py,29,24,350,160
utils/notification_service.py,54,25,1117,660
src/transformers/models/mamba/modeling_mamba.py,57,44,794,767
src/transformers/models/whisper/feature_extraction_whisper.py,17,14,139,83
src/transformers/integrations/integration_utils.py,72,47,1174,485
examples/pytorch/language-modeling/run_clm.py,33,5,183,143
examples/pytorch/language-modeling/run_clm_no_trainer.py,29,7,70,55
examples/pytorch/language-modeling/run_fim.py,34,7,87,104
examples/pytorch/language-modeling/run_fim_no_trainer.py,32,9,64,59
examples/pytorch/language-modeling/run_mlm.py,31,4,65,101
examples/pytorch/language-modeling/run_mlm_no_trainer.py,28,6,57,50
examples/pytorch/language-modeling/run_plm.py,30,3,66,88
docs/source/_config.py,1,1,1,1
docs/source/de/_config.py,1,1,1,1
docs/source/en/_config.py,3,2,3,3
docs/source/es/_config.py,1,1,1,1
docs/source/fr/_config.py,1,1,1,1
docs/source/it/_config.py,1,1,1,1
docs/source/ko/_config.py,1,1,1,1
